Model,item_upc,quantity,Products_price
PD3723-00,603912272062,18,35.5
SS697-30,646709697303,17,32.27
PD1970-00,603912755510,12,22
PDRD530,603912755435,5,82.5
SE6893-20,716770042972,22,11.7
SE0044-50,716770051660,18,10.85
SE0004-05,716770065155,0,7.35
SE0004-06,716770065162,0,7.5
SE0004-15,716770066701,24,8.5
SE0004-16,716770066718,5,8.5
SE0004-17,716770066725,14,9.5
SE0004-18,716770066732,13,9.5
SE0004-35,716770066800,16,5.95
SE0004-36,716770066817,20,5.95
PD3766-00,603912746983,6,265
NT2804-1,782631280418,9,8.95
NT2804-3,782631280432,16,8.95
SE0044-04,716770050199,17,9.85
BMS26516,677613265166,0,37.54
BMS26519,677613265197,0,37.54
BMS26716,677613267160,0,42
SE0004-41,716770073389,20,8.95
NT2358-1,782631235814,4,34.6
SE0420-20,716770055637,9,14.7
DJ2403-01,782421059538,11,419.82
EN-RS-1004-2,844477011004,32,18.99
SE1790-12,716770053343,10,19.2
SS720-08,646709720087,24,6.13
HP2133,818631021338,1,7.4
XRAB904,811847014309,32,10.26
LP6071465,3700436071465,5,37.5
NOBT-W34-BK,9342851001487,23,32.5
NOBT-W34-PK,9342851001661,24,32.5
NOBT-W34-PR,9342851001494,47,32.5
NOBT-W61PK,9342851002620,13,40
NOBT-W61PU,9342851002552,15,40
NOBT-W61RG,9342851002460,0,40
NOBT-W61TBL,9342851002590,17,40
PD3736-15,603912334319,17,9
PD4926-12,603912752106,6,82.5
PDRD532,603912757354,6,102.5
NOBT-W55BK,9342851002538,13,42
LP6071786,3700436071786,8,45.99
BL37101,819835020158,29,12.285
PDRD525,603912751475,20,75
PD1975-00,603912755565,2,32
PDRD531,603912757316,7,102.5
PDRD529,603912755213,17,93.5
SE0497-15,716770043184,16,5.75
SE0542-04,716770002594,19,6.6
SE0542-12,716770002600,12,6.6
SE0542-14,716770002617,28,6.6
PDRD526,603912751482,10,61.5
PD3233-11,603912325867,16,26
SS099-21,646709099213,27,6.66
8370-31,760921346020,7,5.4
8370-81,760921345986,8,5.4
8280-37,879959003260,38,10
DLARPR3,813324020100,0,15.15
SE1370-20,716770055736,33,8.45
SE1370-10,716770055729,0,8.45
SE1370-30,716770055743,29,8.45
SS326-02,646709326029,30,37.47
SS760-40,646709760403,36,8.32
PD3986-27,603912340648,7,22
CRC-SKPOWC48,847878001650,9,20
BAHMP05,679359001237,12,13.62
BAHMPFM05,679359001251,19,13.62
7757-08,3760139882782,9,13
EBI-MAS052,814487021621,12,10
EBI-MAS252,814487021614,13,3.5
EBI-ML052,814487021676,35,7
EB-ML017,814487021768,21,7
EB-ML021,814487021706,11,7
EB-ML022,814487021744,16,7
EB-ML068,814487021720,23,7
INT042F,854397006561,227,1.25
FSG45597,5060057872383,0,6.5
7751-05,879959004779,25,6
8127-88,609224031472,1,10.45
INT002,854397006011,28,12.48
INT003,854397006028,74,12.48
INT003F,854397006486,0,1.25
INT004,854397006035,36,12.48
9876-91,894757001621,0,2.5
EBI-HSV052T,814487021584,6,6.5
INT038-60ML,854397006929,13,6.98
INT039-120ML,854397006875,12,9.97
INT040-60ML,854397006936,23,6.98
INT041-120ML,854397006899,9,9.97
INT042-120ML,854397006264,7,9.97
INT042-60ML,854397006943,23,6.98
SE2645-05,716770086761,11,9.7
SE2645-10,716770086778,13,9.7
SE6892-15,716770086785,22,10.5
BL12083,735380120832,38,11.704
BL16413,735380164133,29,7.735
BL16423,735380164232,37,7.763
BL16433,735380164331,34,8.057
BL16443,735380164430,35,9.667
BL16463,735380164638,62,9.338
BL26413,735380264130,42,17.962
BL57593,735380575939,29,7.091
7757-02,3760139882058,35,12.56
7757-03,3760139882065,34,12.56
7757-04,3760139882072,30,12.56
7757-071,3760139882508,37,12.56
7757-01,3760139882041,43,12.56
SHU2216,697309022163,13,11.5
SEN414,855559007013,6,8.48
SEN434,855559007075,10,8.48
SEN444,855559007105,3,8.48
SEN454,855559007136,14,8.48
SEN424,855559007044,9,8.48
PD5621-22,603912753370,5,32
PD5622-21,603912361261,11,34.5
PD5623-21,603912361278,4,37
PD5621-21,603912361254,11,32
PD5623-29,603912361339,5,37
7757-24,3760139882270,29,14.25
BL68328,819835020516,15,23.443
BL68318,819835020523,15,21.119
8254-84,891306000159,8,7.48
8254-12,891306000173,0,5.48
8254-19,891306000234,0,21.48
8254-09,891306000227,4,49.48
8254-49,892172001295,0,7.48
8254-44,892172001370,0,9.98
8254-52,891306000487,0,7.98
8254-54,891306000432,32,11.98
8254-23,892172001172,0,9.98
8254-37,891306000012,0,9.98
8254-38,892172001356,0,14.98
SHU6410,697309064101,12,10.25
SHU6421,697309064217,12,10.25
KL0505,844915090400,0,9.25
STR7918,4041937579180,0,13.95
BM-DD-R6EA,817483011528,29,8.43
SLQ-025,894147000258,388,0.6
SLQ-928,894147009282,89,5
7607-07,302340853279,57,2.51
7624-03EA,016169060038,36,3.02
7624-04EA,016169080036,29,3.02
7624-21EA,016169050121,7,12.62
7629-01,605632860000,155,1.04
7629-03,605632860154,174,1.04
7629-04,605632860208,129,1.04
7629-05,605632860253,120,1.04
7705-05,726893110748,27,2.81
7705-06,726893110762,36,2.81
7705-21,726893112018,73,11.02
7624-05EA,10016169090032,21,3.02
7705-03,726893110786,26,2.81
7705-33,726893114944,36,2.81
8015-21,070907298602,0,1.99
HP2959,818631029594,11,6.05
IDWXL-03,761236901126,72,1.7
IDWXT-03,761236901119,86,1.7
SE5651-00,716770034397,29,3.45
SE5651-03,716770034601,27,3.45
SE1408-01,716770004512,19,3.45
NT2653-2,782631265323,19,6.7
7607-05,302340300452,48,3.17
7624-01EA,016169050039,24,3.02
7627-77,070907275122,66,11.25
8284-807,785123869573,7,5.4
8284-808,785123869566,6,5.4
7914-02,646709902018,25,19.42
PD4402-00,603912320206,23,5
KL0642,844915090578,26,6.25
SHTOU139PNK,8714273580788,15,15.95
SS099-04,646709099046,35,11.65
IBIC2319-2,847841023191,10,6.65
SHTOU139BLK,8714273580801,10,15.95
PD3703-00,603912247961,10,9
SE6843-30,716770051318,11,7.6
SS100-46,646709100469,18,5.72
RGH001,5060363867332,12,48
SHTOU254BLK,8714273291172,0,29.95
SHTOU256BLK,8714273291196,0,29.95
SHTOU257BLK,8714273291240,0,23.95
SHTOU293BLK,8714273292513,0,9.95
PL5051-WH-ML,017036569272,10,7.5
PL5051-WH-SM,017036569289,6,7.5
PL5070-BK-OS,017036864810,8,5
RR2037-RD-ML,017036286759,0,9
RR2037-RD-SM,017036303647,0,9
RR7002-LM-OS,017036326684,0,3.5
PD2153-23,603912214963,13,30
PD4025-23,603912296624,4,16
SB0084,PABVPX,25,21.35
SB0121,3700974823236,9,11.35
WS0088,713079900088,76,8.25
DJ1313-05,782421024093,7,12.94
WS8015,713079908015,18,9.98
DJ1311-01,782421176402,44,9.8
DJ1312-01,782421176808,0,9.8
SE2200-25,716770043047,47,9.5
BABE20,679359001039,38,11.12
BAHCC20,679359001015,5,10.17
PF-ER-15,854854005366,25,12.9
BL81900,702730686201,37,5.362
BL81902,702730686218,40,5.362
BM-OFY-C-110,817483011214,46,1.79
PD4434-23,603912323504,13,16.5
7135-32EA,699439006075,0,2.1
7757-11,3760139882034,45,15.29
SE2200-00,716770005618,71,9.35
XRAC323,811847016624,32,14.49
8635-22,704155576600,18,7.54
NOBT-W55PK,9342851002248,21,44.5
NOBT-W55PU,9342851002293,34,42
PF-CR-79B,854854005618,11,8.5
DJ2100-01,782421566005,17,10.68
SE1574-15,716770089830,2,16.35
SE1574-10,716770089823,8,16.35
SE1574-05,716770089816,7,16.35
SE1574-20,716770092168,10,14.85
SE1574-25,716770092175,6,14.85
SE1575-05,716770081360,0,19.45
SE1575-10,716770081377,19,19.45
SE1575-15,716770081384,21,19.45
SE1576-05,716770081391,19,18.5
SE1576-10,716770081407,6,18.5
SE1576-15,716770081414,21,18.5
PD3869-23,603912259391,8,12.5
SU-S100,8887500730017,71,17
SU-S250,8887500730024,93,31.55
8254-04,891306000067,83,15.48
8254-02,891306000036,0,8.98
8254-69,891306000456,9,10.48
8254-70,891306000401,43,17.48
